,Voltage (V),Current (A)
0,-56.0,-4.562171e-06
1,-55.91304347826087,-4.320994e-06
2,-55.82608695652174,-4.07022e-06
3,-55.73913043478261,-3.901221e-06
4,-55.65217391304348,-3.652886e-06
5,-55.56521739130435,-3.474271e-06
6,-55.47826086956522,-3.288647e-06
7,-55.391304347826086,-3.074288e-06
8,-55.30434782608695,-2.943833e-06
9,-55.21739130434783,-2.762827e-06
10,-55.130434782608695,-2.607238e-06
11,-55.04347826086956,-2.483914e-06
12,-54.95652173913044,-2.267974e-06
13,-54.869565217391305,-2.173528e-06
14,-54.78260869565217,-2.021166e-06
15,-54.69565217391305,-1.937825e-06
16,-54.608695652173914,-1.762105e-06
17,-54.52173913043478,-1.652925e-06
18,-54.434782608695656,-1.529839e-06
19,-54.34782608695652,-1.415068e-06
20,-54.26086956521739,-1.31525e-06
21,-54.17391304347826,-1.231739e-06
22,-54.08695652173913,-1.110838e-06
23,-54.0,-1.024232e-06
24,-53.91304347826087,-9.470137e-07
25,-53.82608695652174,-8.592805e-07
26,-53.73913043478261,-7.777891e-07
27,-53.65217391304348,-6.955909e-07
28,-53.565217391304344,-6.311494e-07
29,-53.47826086956522,-5.537625e-07
30,-53.391304347826086,-4.867665e-07
31,-53.30434782608695,-4.351557e-07
32,-53.21739130434783,-3.765868e-07
33,-53.130434782608695,-3.198592e-07
34,-53.04347826086956,-2.766955e-07
35,-52.95652173913044,-2.336841e-07
36,-52.869565217391305,-1.878225e-07
37,-52.78260869565217,-1.491297e-07
38,-52.69565217391305,-1.158022e-07
39,-52.608695652173914,-8.609769e-08
40,-52.52173913043478,-6.162879e-08
41,-52.434782608695656,-4.004474e-08
42,-52.34782608695652,-2.801547e-08
43,-52.26086956521739,-2.114337e-08
44,-52.17391304347826,-1.941932e-08
45,-52.08695652173913,-1.88216e-08
46,-52.0,-1.864728e-08
47,-51.91304347826087,-1.853278e-08
48,-51.82608695652174,-1.890986e-08
49,-51.73913043478261,-1.767574e-08
50,-51.65217391304348,-1.920725e-08
51,-51.565217391304344,-1.859892e-08
52,-51.47826086956522,-1.891758e-08
53,-51.391304347826086,-1.55878e-08
54,-51.30434782608695,-1.855825e-08
55,-51.21739130434783,-1.802903e-08
56,-51.130434782608695,-1.78076e-08
57,-51.04347826086956,-1.834024e-08
58,-50.95652173913044,-1.823785e-08
59,-50.869565217391305,-1.820279e-08
60,-50.78260869565217,-1.793838e-08
61,-50.69565217391305,-1.816992e-08
62,-50.608695652173914,-1.797908e-08
63,-50.52173913043478,-1.799997e-08
64,-50.434782608695656,-1.815198e-08
65,-50.34782608695652,-1.805718e-08
66,-50.26086956521739,-1.801768e-08
67,-50.17391304347826,-1.839944e-08
68,-50.08695652173913,-1.794701e-08
69,-50.0,-1.792668e-08
