,Voltage (V),Current (A)
0,-56.0,-6.339035e-06
1,-55.91304347826087,-5.944704e-06
2,-55.82608695652174,-5.67399e-06
3,-55.73913043478261,-5.35242e-06
4,-55.65217391304348,-5.040846e-06
5,-55.56521739130435,-4.858708e-06
6,-55.47826086956522,-4.603098e-06
7,-55.391304347826086,-4.329631e-06
8,-55.30434782608695,-4.137941e-06
9,-55.21739130434783,-3.919678e-06
10,-55.130434782608695,-3.70103e-06
11,-55.04347826086956,-3.484501e-06
12,-54.95652173913044,-3.321446e-06
13,-54.869565217391305,-3.082436e-06
14,-54.78260869565217,-2.932419e-06
15,-54.69565217391305,-2.730261e-06
16,-54.608695652173914,-2.569546e-06
17,-54.52173913043478,-2.457265e-06
18,-54.434782608695656,-2.262736e-06
19,-54.34782608695652,-2.113926e-06
20,-54.26086956521739,-1.990985e-06
21,-54.17391304347826,-1.880256e-06
22,-54.08695652173913,-1.728786e-06
23,-54.0,-1.629826e-06
24,-53.91304347826087,-1.502704e-06
25,-53.82608695652174,-1.402572e-06
26,-53.73913043478261,-1.290577e-06
27,-53.65217391304348,-1.183069e-06
28,-53.565217391304344,-1.088945e-06
29,-53.47826086956522,-1.001564e-06
30,-53.391304347826086,-9.068709e-07
31,-53.30434782608695,-8.177776e-07
32,-53.21739130434783,-7.428311e-07
33,-53.130434782608695,-6.642894e-07
34,-53.04347826086956,-5.975733e-07
35,-52.95652173913044,-5.284031e-07
36,-52.869565217391305,-4.731712e-07
37,-52.78260869565217,-4.124595e-07
38,-52.69565217391305,-3.562673e-07
39,-52.608695652173914,-3.063514e-07
40,-52.52173913043478,-2.525312e-07
41,-52.434782608695656,-2.117658e-07
42,-52.34782608695652,-1.720875e-07
43,-52.26086956521739,-1.392515e-07
44,-52.17391304347826,-1.05806e-07
45,-52.08695652173913,-7.886746e-08
46,-52.0,-5.742082e-08
47,-51.91304347826087,-4.188477e-08
48,-51.82608695652174,-3.016657e-08
49,-51.73913043478261,-2.51223e-08
50,-51.65217391304348,-2.334374e-08
51,-51.565217391304344,-2.28945e-08
52,-51.47826086956522,-2.271797e-08
53,-51.391304347826086,-2.262132e-08
54,-51.30434782608695,-2.26284e-08
55,-51.21739130434783,-2.252773e-08
56,-51.130434782608695,-2.247868e-08
57,-51.04347826086956,-2.247085e-08
58,-50.95652173913044,-2.241903e-08
59,-50.869565217391305,-2.234067e-08
60,-50.78260869565217,-2.234247e-08
61,-50.69565217391305,-2.229231e-08
62,-50.608695652173914,-2.224979e-08
63,-50.52173913043478,-2.225514e-08
64,-50.434782608695656,-2.225439e-08
65,-50.34782608695652,-2.217722e-08
66,-50.26086956521739,-2.213902e-08
67,-50.17391304347826,-2.219399e-08
68,-50.08695652173913,-2.201727e-08
69,-50.0,-2.193706e-08
