,Voltage (V),Current (A)
0,-56.0,-4.97383e-06
1,-55.91304347826087,-4.72219e-06
2,-55.82608695652174,-4.460047e-06
3,-55.73913043478261,-4.238444e-06
4,-55.65217391304348,-4.016918e-06
5,-55.56521739130435,-3.81992e-06
6,-55.47826086956522,-3.66806e-06
7,-55.391304347826086,-3.424266e-06
8,-55.30434782608695,-3.274168e-06
9,-55.21739130434783,-3.111691e-06
10,-55.130434782608695,-2.953307e-06
11,-55.04347826086956,-2.829368e-06
12,-54.95652173913044,-2.628804e-06
13,-54.869565217391305,-2.507802e-06
14,-54.78260869565217,-2.3622e-06
15,-54.69565217391305,-2.245749e-06
16,-54.608695652173914,-2.10465e-06
17,-54.52173913043478,-1.942757e-06
18,-54.434782608695656,-1.859263e-06
19,-54.34782608695652,-1.734613e-06
20,-54.26086956521739,-1.649344e-06
21,-54.17391304347826,-1.534591e-06
22,-54.08695652173913,-1.425887e-06
23,-54.0,-1.332597e-06
24,-53.91304347826087,-1.239187e-06
25,-53.82608695652174,-1.140268e-06
26,-53.73913043478261,-1.052145e-06
27,-53.65217391304348,-9.762783e-07
28,-53.565217391304344,-9.05786e-07
29,-53.47826086956522,-8.222032e-07
30,-53.391304347826086,-7.50268e-07
31,-53.30434782608695,-6.944405e-07
32,-53.21739130434783,-6.218044e-07
33,-53.130434782608695,-5.609091e-07
34,-53.04347826086956,-5.120638e-07
35,-52.95652173913044,-4.477959e-07
36,-52.869565217391305,-3.98715e-07
37,-52.78260869565217,-3.508278e-07
38,-52.69565217391305,-3.05029e-07
39,-52.608695652173914,-2.644714e-07
40,-52.52173913043478,-2.212932e-07
41,-52.434782608695656,-1.835101e-07
42,-52.34782608695652,-1.536135e-07
43,-52.26086956521739,-1.230918e-07
44,-52.17391304347826,-9.528125e-08
45,-52.08695652173913,-7.212115e-08
46,-52.0,-5.228413e-08
47,-51.91304347826087,-3.649581e-08
48,-51.82608695652174,-2.396902e-08
49,-51.73913043478261,-1.820499e-08
50,-51.65217391304348,-1.69244e-08
51,-51.565217391304344,-1.643023e-08
52,-51.47826086956522,-1.618292e-08
53,-51.391304347826086,-1.610509e-08
54,-51.30434782608695,-1.604245e-08
55,-51.21739130434783,-1.599885e-08
56,-51.130434782608695,-1.601154e-08
57,-51.04347826086956,-1.590798e-08
58,-50.95652173913044,-1.589774e-08
59,-50.869565217391305,-1.587858e-08
60,-50.78260869565217,-1.591826e-08
61,-50.69565217391305,-1.592803e-08
62,-50.608695652173914,-1.588898e-08
63,-50.52173913043478,-1.582903e-08
64,-50.434782608695656,-1.578649e-08
65,-50.34782608695652,-1.579296e-08
66,-50.26086956521739,-1.578683e-08
67,-50.17391304347826,-1.571104e-08
68,-50.08695652173913,-1.569018e-08
69,-50.0,-1.568944e-08
