Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100
Base Time Seconds,1721152488
Base Time Fractional,.227927140
Base Time,07/16/2024 17:54:48.227927140
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
-2.942751677892e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-49.9980239868164,Volt DC,100,T,2W,F,F,0.000000000
-2.730831170084e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.1011276245117,Volt DC,100,T,2W,F,F,0.586267500
-2.617084646772e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.2012329101563,Volt DC,100,T,2W,F,F,1.172520980
-2.496683464415e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.3043556213379,Volt DC,100,T,2W,F,F,1.758770680
-2.428471930216e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.4039268493652,Volt DC,100,T,2W,F,F,2.345015840
-2.349682262093e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.5037422180176,Volt DC,100,T,2W,F,F,2.931266680
-2.246072483558e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.6029777526855,Volt DC,100,T,2W,F,F,3.517498160
-2.224825124131e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.7061386108398,Volt DC,100,T,2W,F,F,4.103746900
-2.168906121369e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.8092117309570,Volt DC,100,T,2W,F,F,4.690000060
-2.158235048455e-07,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,-50.9089622497559,Volt DC,100,T,2W,F,F,5.276260540
